Month,Monthly U.S. male (20 years and over) unemployment figures (10**3) 1948-1981
1948-01,1511
1948-02,1694
1948-03,1614
1948-04,1482
1948-05,1245
1948-06,1108
1948-07,1195
1948-08,1177
1948-09,1146
1948-10,981
1948-11,1163
1948-12,1344
1949-01,1923
1949-02,2292
1949-03,2267
1949-04,2081
1949-05,2154
1949-06,2163
1949-07,2547
1949-08,2293
1949-09,2115
1949-10,2419
1949-11,2108
1949-12,2270
1950-01,2882
1950-02,3041
1950-03,2802
1950-04,2429
1950-05,1930
1950-06,1779
1950-07,1826
1950-08,1443
1950-09,1328
1950-10,1074
1950-11,1186
1950-12,1343
1951-01,1522
1951-02,1450
1951-03,1216
1951-04,995
1951-05,859
1951-06,919
1951-07,954
1951-08,878
1951-09,862
1951-10,856
1951-11,928
1951-12,914
1952-01,1230
1952-02,1312
1952-03,1152
1952-04,1022
1952-05,862
1952-06,930
1952-07,1062
1952-08,1008
1952-09,894
1952-10,702
1952-11,752
1952-12,835
1953-01,1334
1953-02,1188
1953-03,1034
1953-04,1070
1953-05,894
1953-06,822
1953-07,886
1953-08,768
1953-09,814
1953-10,788
1953-11,1099
1953-12,1529
1954-01,2068
1954-02,2386
1954-03,2444
1954-04,2329
1954-05,2099
1954-06,1978
1954-07,2015
1954-08,1924
1954-09,1885
1954-10,1720
1954-11,1739
1954-12,1831
1955-01,2245
1955-02,2248
1955-03,2123
1955-04,2013
1955-05,1485
1955-06,1381
1955-07,1332
1955-08,1236
1955-09,1095
1955-10,1118
1955-11,1253
1955-12,1433
1956-01,1788
1956-02,1863
1956-03,1824
1956-04,1504
1956-05,1428
1956-06,1384
1956-07,1340
1956-08,1199
1956-09,1122
1956-10,1028
1956-11,1281
1956-12,1543
1957-01,1809
1957-02,1810
1957-03,1618
1957-04,1521
1957-05,1353
1957-06,1402
1957-07,1327
1957-08,1258
1957-09,1307
1957-10,1337
1957-11,1690
1957-12,2062
1958-01,2759
1958-02,3198
1958-03,3318
1958-04,3073
1958-05,2804
1958-06,2752
1958-07,2779
1958-08,2601
1958-09,2190
1958-10,2072
1958-11,2132
1958-12,2497
1959-01,2850
1959-02,2926
1959-03,2577
1959-04,1933
1959-05,1689
1959-06,1659
1959-07,1691
1959-08,1650
1959-09,1662
1959-10,1630
1959-11,2021
1959-12,1970
1960-01,2417
1960-02,2306
1960-03,2454
1960-04,2025
1960-05,1740
1960-06,1787
1960-07,1863
1960-08,1890
1960-09,1703
1960-10,1806
1960-11,2085
1960-12,2638
1961-01,3211
1961-02,3363
1961-03,3190
1961-04,2773
1961-05,2522
1961-06,2330
1961-07,2383
1961-08,2275
1961-09,1973
1961-10,1880
1961-11,2008
1961-12,2309
1962-01,2591
1962-02,2548
1962-03,2458
1962-04,2115
1962-05,1807
1962-06,1847
1962-07,1803
1962-08,1886
